Run,Method,Time (seconds)
1,MID | X | SPLINE,0.031527042
1,MID | X | SPLINE,0.014719009
1,MID | X | SPLINE,0.010578156
1,MID | X | SPLINE,0.010726929
1,MID | X | SPLINE,0.010159731
1,MID | X | SPLINE,0.008951902
1,MID | X | SPLINE,0.008281946
1,MID | X | SPLINE,0.009181023
1,MID | X | SPLINE,0.007539988
1,MID | X | SPLINE,0.007476807
1,MID | X | SPLINE,0.00769186
1,MID | X | SPLINE,0.007324934
1,MID | X | SPLINE,0.007467985
1,MID | X | SPLINE,0.007038116
1,MID | X | SPLINE,0.00742507
1,MID | X | SPLINE,0.007002831
1,MID | X | SPLINE,0.007565022
1,MID | X | SPLINE,0.006762028
1,MID | X | SPLINE,0.006870985
1,MID | X | SPLINE,0.00707221
1,MID | X | SPLINE,0.007045031
1,MID | X | SPLINE,0.00672698
1,MID | X | SPLINE,0.007174253
1,MID | X | SPLINE,0.006841183
1,MID | X | SPLINE,0.007347822
1,MID | X | SPLINE,0.006891966
1,MID | X | SPLINE,0.006880045
1,MID | X | SPLINE,0.006920099
1,MID | X | SPLINE,0.00703311
1,MID | X | SPLINE,0.006962061
1,FULL | X | SPLINE,0.007067919
1,FULL | X | SPLINE,0.006811142
1,FULL | X | SPLINE,0.006952286
1,FULL | X | SPLINE,0.006601095
1,FULL | X | SPLINE,0.007194996
1,FULL | X | SPLINE,0.00651288
1,FULL | X | SPLINE,0.006788254
1,FULL | X | SPLINE,0.011196852
1,FULL | X | SPLINE,0.00763011
1,FULL | X | SPLINE,0.007019043
1,FULL | X | SPLINE,0.007310867
1,FULL | X | SPLINE,0.007177114
1,FULL | X | SPLINE,0.007249117
1,FULL | X | SPLINE,0.007420063
1,FULL | X | SPLINE,0.007123947
1,FULL | X | SPLINE,0.007141829
1,FULL | X | SPLINE,0.007148027
1,FULL | X | SPLINE,0.006929874
1,FULL | X | SPLINE,0.00745821
1,FULL | X | SPLINE,0.007128
1,FULL | X | SPLINE,0.007662058
1,FULL | X | SPLINE,0.007169962
1,FULL | X | SPLINE,0.007359982
1,FULL | X | SPLINE,0.007123947
1,FULL | X | SPLINE,0.007265091
1,FULL | X | SPLINE,0.007306099
1,FULL | X | SPLINE,0.007009029
1,FULL | X | SPLINE,0.007184029
1,FULL | X | SPLINE,0.007317066
1,FULL | X | SPLINE,0.007169008
1,MID | X | PDE,0.008299112
1,MID | X | PDE,0.007648945
1,MID | X | PDE,0.007737875
1,MID | X | PDE,0.007398844
1,MID | X | PDE,0.007858276
1,MID | X | PDE,0.007359982
1,MID | X | PDE,0.007629871
1,MID | X | PDE,0.007686138
1,MID | X | PDE,0.007830858
1,MID | X | PDE,0.007595062
1,MID | X | PDE,0.007980108
1,MID | X | PDE,0.007745981
1,MID | X | PDE,0.007780313
1,MID | X | PDE,0.007821798
1,MID | X | PDE,0.00773406
