Void,Approach,Axis,Method,RMSE_1st_run,RMSE_2nd_run,Group
1,MID,X,SPLINE,3.3427,11.1752882,MID | X | SPLINE
2,MID,X,PDE,3.3426,11.18880788,MID | X | PDE
3,FULL,X,SPLINE,3.2704,10.92224156,FULL | X | SPLINE
4,FULL,X,PDE,3.2698,10.97116689,FULL | X | PDE
5,MID,Y,SPLINE,16.693,27.04464721,MID | Y | SPLINE
6,MID,Y,PDE,16.693,27.04464721,MID | Y | PDE
7,FULL,Y,SPLINE,16.8788,27.18032825,FULL | Y | SPLINE
8,FULL,Y,PDE,16.8788,27.18032825,FULL | Y | PDE
9,MID,X,SPLINE,11.9874,10.44788864,MID | X | SPLINE
10,MID,X,PDE,11.9879,10.44788864,MID | X | PDE
11,FULL,X,SPLINE,12.0392,10.50337657,FULL | X | SPLINE
12,FULL,X,PDE,12.0423,10.50194942,FULL | X | PDE
13,MID,Y,SPLINE,17.8971,17.06278202,MID | Y | SPLINE
14,MID,Y,PDE,17.8971,17.06278202,MID | Y | PDE
15,FULL,Y,SPLINE,21.6881,16.56801845,FULL | Y | SPLINE
16,FULL,Y,PDE,21.6881,16.56801845,FULL | Y | PDE
17,MID,X,SPLINE,1.165,3.894700152,MID | X | SPLINE
18,MID,X,PDE,1.1651,3.889749673,MID | X | PDE
19,FULL,X,SPLINE,1.2533,3.878606452,FULL | X | SPLINE
20,FULL,X,PDE,1.254,3.872511891,FULL | X | PDE
21,MID,Y,SPLINE,25.0666,23.60956245,MID | Y | SPLINE
22,MID,Y,PDE,25.0666,23.60956245,MID | Y | PDE
23,FULL,Y,SPLINE,25.0332,24.72050658,FULL | Y | SPLINE
24,FULL,Y,PDE,25.0332,24.72050658,FULL | Y | PDE
25,MID,X,SPLINE,9.6291,2.867859169,MID | X | SPLINE
26,MID,X,PDE,9.6284,2.865210101,MID | X | PDE
27,FULL,X,SPLINE,9.8029,2.86545134,FULL | X | SPLINE
28,FULL,X,PDE,9.798,2.859337855,FULL | X | PDE
29,MID,Y,SPLINE,8.4032,14.26513287,MID | Y | SPLINE
30,MID,Y,PDE,8.4032,14.26513287,MID | Y | PDE
31,FULL,Y,SPLINE,8.549,15.27321176,FULL | Y | SPLINE
32,FULL,Y,PDE,8.549,15.27321176,FULL | Y | PDE
33,MID,X,SPLINE,4.7488,11.50314229,MID | X | SPLINE
34,MID,X,PDE,4.7318,11.5031301,MID | X | PDE
35,FULL,X,SPLINE,4.8641,11.58991955,FULL | X | SPLINE
36,FULL,X,PDE,4.8346,11.59417721,FULL | X | PDE
37,MID,Y,SPLINE,15,26.36234753,MID | Y | SPLINE
38,MID,Y,PDE,15,26.36234753,MID | Y | PDE
39,FULL,Y,SPLINE,14.8938,26.54337092,FULL | Y | SPLINE
40,FULL,Y,PDE,14.8938,26.54337092,FULL | Y | PDE
41,MID,X,SPLINE,1.7543,5.797077544,MID | X | SPLINE
42,MID,X,PDE,1.7544,5.801803106,MID | X | PDE
43,FULL,X,SPLINE,1.7989,5.947551927,FULL | X | SPLINE
44,FULL,X,PDE,1.8014,5.953339916,FULL | X | PDE
45,MID,Y,SPLINE,8.572,13.56624466,MID | Y | SPLINE
46,MID,Y,PDE,8.572,13.56624466,MID | Y | PDE
47,FULL,Y,SPLINE,8.8387,13.75361787,FULL | Y | SPLINE
48,FULL,Y,PDE,8.8387,13.75361787,FULL | Y | PDE
49,MID,X,SPLINE,1.4339,4.363108265,MID | X | SPLINE
50,MID,X,PDE,1.4316,4.364055029,MID | X | PDE
51,FULL,X,SPLINE,1.4428,4.365417707,FULL | X | SPLINE
52,FULL,X,PDE,1.4408,4.363868136,FULL | X | PDE
53,MID,Y,SPLINE,41.5046,19.36168546,MID | Y | SPLINE
54,MID,Y,PDE,41.5046,19.36168546,MID | Y | PDE
55,FULL,Y,SPLINE,44.2513,17.63750745,FULL | Y | SPLINE
56,FULL,Y,PDE,44.2513,17.63750745,FULL | Y | PDE
57,MID,X,SPLINE,7.3197,11.66407309,MID | X | SPLINE
58,MID,X,PDE,7.3172,11.6639854,MID | X | PDE
59,FULL,X,SPLINE,7.4129,11.71468398,FULL | X | SPLINE
60,FULL,X,PDE,7.4084,11.7213376,FULL | X | PDE
61,MID,Y,SPLINE,18.4182,20.88630916,MID | Y | SPLINE
62,MID,Y,PDE,18.4182,20.88630916,MID | Y | PDE
63,FULL,Y,SPLINE,18.0025,21.96460749,FULL | Y | SPLINE
64,FULL,Y,PDE,18.0025,21.96460749,FULL | Y | PDE
65,MID,X,SPLINE,1.1562,1.342952002,MID | X | SPLINE
66,MID,X,PDE,1.1571,1.33797051,MID | X | PDE
67,FULL,X,SPLINE,1.1208,1.327072005,FULL | X | SPLINE
68,FULL,X,PDE,1.1246,1.321699494,FULL | X | PDE
69,MID,Y,SPLINE,13.8872,2.895050962,MID | Y | SPLINE
70,MID,Y,PDE,13.8872,2.895050962,MID | Y | PDE
71,FULL,Y,SPLINE,14.0237,3.299922998,FULL | Y | SPLINE
72,FULL,Y,PDE,14.0237,3.299922998,FULL | Y | PDE
73,MID,X,SPLINE,7.3577,8.486112313,MID | X | SPLINE
74,MID,X,PDE,7.3589,8.483550665,MID | X | PDE
75,FULL,X,SPLINE,7.4046,8.51500129,FULL | X | SPLINE
76,FULL,X,PDE,7.4001,8.508144848,FULL | X | PDE
77,MID,Y,SPLINE,44.194,24.61927474,MID | Y | SPLINE
78,MID,Y,PDE,44.194,24.61927474,MID | Y | PDE
79,FULL,Y,SPLINE,44.4337,22.99402621,FULL | Y | SPLINE
80,FULL,Y,PDE,44.4337,22.99402621,FULL | Y | PDE
81,MID,X,SPLINE,0.1615,2.936158673,MID | X | SPLINE
82,MID,X,PDE,0.1609,2.9330057,MID | X | PDE
83,FULL,X,SPLINE,0.1942,2.966327435,FULL | X | SPLINE
84,FULL,X,PDE,0.1973,2.958246912,FULL | X | PDE
85,MID,Y,SPLINE,16.5976,27.40407241,MID | Y | SPLINE
86,MID,Y,PDE,16.5976,27.40407241,MID | Y | PDE
87,FULL,Y,SPLINE,17.4491,27.58021437,FULL | Y | SPLINE
88,FULL,Y,PDE,17.4491,27.58021437,FULL | Y | PDE
89,MID,X,SPLINE,9.6619,4.167679781,MID | X | SPLINE
90,MID,X,PDE,9.6787,4.162598144,MID | X | PDE
91,FULL,X,SPLINE,9.8717,4.261959111,FULL | X | SPLINE
92,FULL,X,PDE,9.9002,4.254106803,FULL | X | PDE
93,MID,Y,SPLINE,2.9517,7.527139849,MID | Y | SPLINE
94,MID,Y,PDE,2.9517,7.527139849,MID | Y | PDE
95,FULL,Y,SPLINE,1.9341,8.149372575,FULL | Y | SPLINE
96,FULL,Y,PDE,1.9341,8.149372575,FULL | Y | PDE
97,MID,X,SPLINE,0.6753,8.46994967,MID | X | SPLINE
98,MID,X,PDE,0.6781,8.470455947,MID | X | PDE
99,FULL,X,SPLINE,0.7553,8.482150895,FULL | X | SPLINE
100,FULL,X,PDE,0.7629,8.485006876,FULL | X | PDE
101,MID,Y,SPLINE,22.1395,30.74777218,MID | Y | SPLINE
102,MID,Y,PDE,22.1395,30.74777218,MID | Y | PDE
103,FULL,Y,SPLINE,22.2455,31.31723298,FULL | Y | SPLINE
104,FULL,Y,PDE,22.2455,31.31723298,FULL | Y | PDE
105,MID,X,SPLINE,10.345,0.821016801,MID | X | SPLINE
106,MID,X,PDE,10.354,0.827356359,MID | X | PDE
107,FULL,X,SPLINE,10.502,0.943826922,FULL | X | SPLINE
108,FULL,X,PDE,10.52,0.951387156,FULL | X | PDE
109,MID,Y,SPLINE,7.0926,17.15562237,MID | Y | SPLINE
110,MID,Y,PDE,7.0926,17.15562237,MID | Y | PDE
111,FULL,Y,SPLINE,6.6186,17.30782435,FULL | Y | SPLINE
112,FULL,Y,PDE,6.6186,17.30782435,FULL | Y | PDE
113,MID,X,SPLINE,7.8152,3.565154118,MID | X | SPLINE
114,MID,X,PDE,7.8033,3.564627268,MID | X | PDE
115,FULL,X,SPLINE,7.8663,3.56419229,FULL | X | SPLINE
116,FULL,X,PDE,7.8384,3.559548567,FULL | X | PDE
117,MID,Y,SPLINE,2.6797,0.876592608,MID | Y | SPLINE
118,MID,Y,PDE,2.6797,0.876592608,MID | Y | PDE
119,FULL,Y,SPLINE,2.2824,0.780568517,FULL | Y | SPLINE
120,FULL,Y,PDE,2.2824,0.780568517,FULL | Y | PDE
121,MID,X,SPLINE,12.0677,2.954480563,MID | X | SPLINE
122,MID,X,PDE,12.0683,2.972724088,MID | X | PDE
123,FULL,X,SPLINE,12.0054,2.800174406,FULL | X | SPLINE
124,FULL,X,PDE,11.9993,2.83303935,FULL | X | PDE
125,MID,Y,SPLINE,9.138,17.82968342,MID | Y | SPLINE
126,MID,Y,PDE,9.138,17.82968342,MID | Y | PDE
127,FULL,Y,SPLINE,9.1328,17.35619104,FULL | Y | SPLINE
128,FULL,Y,PDE,9.1328,17.35619104,FULL | Y | PDE
129,MID,X,SPLINE,5.6191,5.548943155,MID | X | SPLINE
130,MID,X,PDE,5.619,5.550278425,MID | X | PDE
131,FULL,X,SPLINE,5.5639,5.523782937,FULL | X | SPLINE
132,FULL,X,PDE,5.5606,5.527797741,FULL | X | PDE
133,MID,Y,SPLINE,22.4964,26.03902189,MID | Y | SPLINE
134,MID,Y,PDE,22.4964,26.03902189,MID | Y | PDE
135,FULL,Y,SPLINE,25.3351,27.11284197,FULL | Y | SPLINE
136,FULL,Y,PDE,25.3351,27.11284197,FULL | Y | PDE
137,MID,X,SPLINE,7.5448,4.628654929,MID | X | SPLINE
138,MID,X,PDE,7.5453,4.625107041,MID | X | PDE
139,FULL,X,SPLINE,7.5484,4.640730814,FULL | X | SPLINE
140,FULL,X,PDE,7.5551,4.632068998,FULL | X | PDE
141,MID,Y,SPLINE,34.531,13.90159497,MID | Y | SPLINE
142,MID,Y,PDE,34.531,13.90159497,MID | Y | PDE
143,FULL,Y,SPLINE,33.5776,13.5961068,FULL | Y | SPLINE
144,FULL,Y,PDE,33.5776,13.5961068,FULL | Y | PDE
145,MID,X,SPLINE,8.6067,5.215973394,MID | X | SPLINE
146,MID,X,PDE,8.6085,5.215973394,MID | X | PDE
147,FULL,X,SPLINE,8.622,5.13413551,FULL | X | SPLINE
148,FULL,X,PDE,8.6201,5.143067627,FULL | X | PDE
149,MID,Y,SPLINE,29.7068,43.65994421,MID | Y | SPLINE
150,MID,Y,PDE,29.7068,43.65994421,MID | Y | PDE
151,FULL,Y,SPLINE,29.5391,43.70942908,FULL | Y | SPLINE
152,FULL,Y,PDE,29.5391,43.70942908,FULL | Y | PDE
153,MID,X,SPLINE,3.2538,4.647186111,MID | X | SPLINE
154,MID,X,PDE,3.2518,4.643649109,MID | X | PDE
155,FULL,X,SPLINE,3.2394,4.683542163,FULL | X | SPLINE
156,FULL,X,PDE,3.2334,4.675897407,FULL | X | PDE
157,MID,Y,SPLINE,17.0252,42.54968665,MID | Y | SPLINE
158,MID,Y,PDE,17.0252,42.54968665,MID | Y | PDE
159,FULL,Y,SPLINE,17.7686,44.00592633,FULL | Y | SPLINE
160,FULL,Y,PDE,17.7686,44.00592633,FULL | Y | PDE
161,MID,X,SPLINE,15.3209,7.487246389,MID | X | SPLINE
162,MID,X,PDE,15.3211,7.483137449,MID | X | PDE
163,FULL,X,SPLINE,15.3914,7.499935398,FULL | X | SPLINE
164,FULL,X,PDE,15.3875,7.487960688,FULL | X | PDE
165,MID,Y,SPLINE,2.113,25.73650139,MID | Y | SPLINE
166,MID,Y,PDE,2.113,25.73650139,MID | Y | PDE
167,FULL,Y,SPLINE,3.2164,25.96079399,FULL | Y | SPLINE
168,FULL,Y,PDE,3.2164,25.96079399,FULL | Y | PDE
169,MID,X,SPLINE,7.6279,1.688363247,MID | X | SPLINE
170,MID,X,PDE,7.6361,1.688373012,MID | X | PDE
171,FULL,X,SPLINE,7.5731,1.747664697,FULL | X | SPLINE
172,FULL,X,PDE,7.5921,1.745359796,FULL | X | PDE
173,MID,Y,SPLINE,28.968,12.09801527,MID | Y | SPLINE
174,MID,Y,PDE,28.968,12.09801527,MID | Y | PDE
175,FULL,Y,SPLINE,29.3828,10.86522548,FULL | Y | SPLINE
176,FULL,Y,PDE,29.3828,10.86522548,FULL | Y | PDE
177,MID,X,SPLINE,3.0338,3.235820732,MID | X | SPLINE
178,MID,X,PDE,3.0328,3.235820732,MID | X | PDE
179,FULL,X,SPLINE,3.0195,3.219785222,FULL | X | SPLINE
180,FULL,X,PDE,3.02,3.219043637,FULL | X | PDE
181,MID,Y,SPLINE,22.0385,19.97484865,MID | Y | SPLINE
182,MID,Y,PDE,22.0385,19.97484865,MID | Y | PDE
183,FULL,Y,SPLINE,19.2818,20.21688238,FULL | Y | SPLINE
184,FULL,Y,PDE,19.2818,20.21688238,FULL | Y | PDE
185,MID,X,SPLINE,11.874,2.017655372,MID | X | SPLINE
186,MID,X,PDE,11.8735,2.002038068,MID | X | PDE
187,FULL,X,SPLINE,11.769,2.21216098,FULL | X | SPLINE
188,FULL,X,PDE,11.7665,2.182805424,FULL | X | PDE
189,MID,Y,SPLINE,19.4872,17.57105544,MID | Y | SPLINE
190,MID,Y,PDE,19.4872,17.57105544,MID | Y | PDE
191,FULL,Y,SPLINE,20.8712,17.24792062,FULL | Y | SPLINE
192,FULL,Y,PDE,20.8712,17.24792062,FULL | Y | PDE
193,MID,X,SPLINE,0.2843,6.804095951,MID | X | SPLINE
194,MID,X,PDE,0.2843,6.800547482,MID | X | PDE
195,FULL,X,SPLINE,0.3551,7.193480805,FULL | X | SPLINE
196,FULL,X,PDE,0.3563,7.202123096,FULL | X | PDE
197,MID,Y,SPLINE,28.154,14.38902543,MID | Y | SPLINE
198,MID,Y,PDE,28.154,14.38902543,MID | Y | PDE
199,FULL,Y,SPLINE,28.0607,14.47262234,FULL | Y | SPLINE
200,FULL,Y,PDE,28.0607,14.47262234,FULL | Y | PDE
201,MID,X,SPLINE,0.6884,2.819919305,MID | X | SPLINE
202,MID,X,PDE,0.689,2.816600497,MID | X | PDE
203,FULL,X,SPLINE,0.6634,2.803811558,FULL | X | SPLINE
204,FULL,X,PDE,0.6616,2.803236733,FULL | X | PDE
205,MID,Y,SPLINE,22.6385,3.892019349,MID | Y | SPLINE
206,MID,Y,PDE,22.6385,3.892019349,MID | Y | PDE
207,FULL,Y,SPLINE,23.7034,3.907433903,FULL | Y | SPLINE
208,FULL,Y,PDE,23.7034,3.907433903,FULL | Y | PDE
209,MID,X,SPLINE,7.8171,0.950717673,MID | X | SPLINE
210,MID,X,PDE,7.803,0.950616118,MID | X | PDE
211,FULL,X,SPLINE,7.4306,0.978710459,FULL | X | SPLINE
212,FULL,X,PDE,7.4254,0.981560471,FULL | X | PDE
213,MID,Y,SPLINE,27.9387,26.46930182,MID | Y | SPLINE
214,MID,Y,PDE,27.9387,26.46930182,MID | Y | PDE
215,FULL,Y,SPLINE,27.4386,26.47821559,FULL | Y | SPLINE
216,FULL,Y,PDE,27.4386,26.47821559,FULL | Y | PDE
217,MID,X,SPLINE,2.7742,9.539169794,MID | X | SPLINE
218,MID,X,PDE,2.7691,9.538826142,MID | X | PDE
219,FULL,X,SPLINE,2.8145,9.630162329,FULL | X | SPLINE
220,FULL,X,PDE,2.8022,9.628896314,FULL | X | PDE
221,MID,Y,SPLINE,19.6997,10.58998817,MID | Y | SPLINE
222,MID,Y,PDE,19.6997,10.58998817,MID | Y | PDE
223,FULL,Y,SPLINE,19.7345,10.69789016,FULL | Y | SPLINE
224,FULL,Y,PDE,19.7345,10.69789016,FULL | Y | PDE
225,MID,X,SPLINE,2.4278,0.840953987,MID | X | SPLINE
226,MID,X,PDE,2.4268,0.840731731,MID | X | PDE
227,FULL,X,SPLINE,2.4206,0.848035571,FULL | X | SPLINE
228,FULL,X,PDE,2.4167,0.847896419,FULL | X | PDE
